x,y,z,floor,point_type
264.276,174.374,1.0,0,wall_halo
264.276,174.374,4.0,1,wall_halo
264.276,174.374,7.0,2,wall_halo
264.276,174.374,10.0,3,wall_halo
264.276,174.374,13.0,4,wall_halo
264.276,174.374,16.0,5,wall_halo
264.276,174.374,19.0,6,wall_halo
260.245,170.658,1.0,0,wall_halo
260.245,170.658,4.0,1,wall_halo
260.245,170.658,7.0,2,wall_halo
260.245,170.658,10.0,3,wall_halo
260.245,170.658,13.0,4,wall_halo
260.245,170.658,16.0,5,wall_halo
260.245,170.658,19.0,6,wall_halo
256.215,166.941,1.0,0,wall_halo
256.215,166.941,4.0,1,wall_halo
256.215,166.941,7.0,2,wall_halo
256.215,166.941,10.0,3,wall_halo
256.215,166.941,13.0,4,wall_halo
256.215,166.941,16.0,5,wall_halo
256.215,166.941,19.0,6,wall_halo
252.184,163.224,1.0,0,wall_halo
252.184,163.224,4.0,1,wall_halo
252.184,163.224,7.0,2,wall_halo
252.184,163.224,10.0,3,wall_halo
252.184,163.224,13.0,4,wall_halo
252.184,163.224,16.0,5,wall_halo
252.184,163.224,19.0,6,wall_halo
248.154,159.508,1.0,0,wall_halo
248.154,159.508,4.0,1,wall_halo
248.154,159.508,7.0,2,wall_halo
248.154,159.508,10.0,3,wall_halo
248.154,159.508,13.0,4,wall_halo
248.154,159.508,16.0,5,wall_halo
248.154,159.508,19.0,6,wall_halo
244.124,155.791,1.0,0,wall_halo
244.124,155.791,4.0,1,wall_halo
244.124,155.791,7.0,2,wall_halo
244.124,155.791,10.0,3,wall_halo
244.124,155.791,13.0,4,wall_halo
244.124,155.791,16.0,5,wall_halo
244.124,155.791,19.0,6,wall_halo
240.093,152.075,1.0,0,wall_halo
240.093,152.075,4.0,1,wall_halo
240.093,152.075,7.0,2,wall_halo
240.093,152.075,10.0,3,wall_halo
240.093,152.075,13.0,4,wall_halo
240.093,152.075,16.0,5,wall_halo
240.093,152.075,19.0,6,wall_halo
238.012,145.093,1.0,0,wall_halo
238.012,145.093,4.0,1,wall_halo
238.012,145.093,7.0,2,wall_halo
238.012,145.093,10.0,3,wall_halo
238.012,145.093,13.0,4,wall_halo
238.012,145.093,16.0,5,wall_halo
238.012,145.093,19.0,6,wall_halo
239.343,139.726,1.0,0,wall_halo
239.343,139.726,4.0,1,wall_halo
239.343,139.726,7.0,2,wall_halo
239.343,139.726,10.0,3,wall_halo
239.343,139.726,13.0,4,wall_halo
239.343,139.726,16.0,5,wall_halo
239.343,139.726,19.0,6,wall_halo
240.674,134.359,1.0,0,wall_halo
240.674,134.359,4.0,1,wall_halo
240.674,134.359,7.0,2,wall_halo
240.674,134.359,10.0,3,wall_halo
240.674,134.359,13.0,4,wall_halo
240.674,134.359,16.0,5,wall_halo
240.674,134.359,19.0,6,wall_halo
242.005,128.992,1.0,0,wall_halo
242.005,128.992,4.0,1,wall_halo
242.005,128.992,7.0,2,wall_halo
242.005,128.992,10.0,3,wall_halo
242.005,128.992,13.0,4,wall_halo
242.005,128.992,16.0,5,wall_halo
242.005,128.992,19.0,6,wall_halo
243.336,123.625,1.0,0,wall_halo
243.336,123.625,4.0,1,wall_halo
243.336,123.625,7.0,2,wall_halo
243.336,123.625,10.0,3,wall_halo
243.336,123.625,13.0,4,wall_halo
243.336,123.625,16.0,5,wall_halo
243.336,123.625,19.0,6,wall_halo
244.667,118.258,1.0,0,wall_halo
244.667,118.258,4.0,1,wall_halo
244.667,118.258,7.0,2,wall_halo
244.667,118.258,10.0,3,wall_halo
244.667,118.258,13.0,4,wall_halo
244.667,118.258,16.0,5,wall_halo
244.667,118.258,19.0,6,wall_halo
245.999,112.89,1.0,0,wall_halo
