# 
# Header Description:
# 
# Version: v3.1.1.2 Platform: 14 Manufacturer: samsung Model: SM-M055F GNSS Hardware Model Name: MediaTek,MT6631,MTK_MNLD_default,MNL_VER_default
# 
# Raw,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,Svid,TimeOffsetNanos,State,ReceivedSvTimeNanos,ReceivedSvTimeUncertaintyNanos,Cn0DbHz,PseudorangeRateMetersPerSecond,PseudorangeRateUncertaintyMetersPerSecond,AccumulatedDeltaRangeState,AccumulatedDeltaRangeMeters,AccumulatedDeltaRangeUncertaintyMeters,CarrierFrequencyHz,CarrierCycles,CarrierPhase,CarrierPhaseUncertainty,MultipathIndicator,SnrInDb,ConstellationType,AgcDb,BasebandCn0DbHz,FullInterSignalBiasNanos,FullInterSignalBiasUncertaintyNanos,SatelliteInterSignalBiasNanos,SatelliteInterSignalBiasUncertaintyNanos,CodeType,ChipsetElapsedRealtimeNanos,IsFullTracking,SvPositionEcefXMeters,SvPositionEcefYMeters,SvPositionEcefZMeters,SvVelocityEcefXMetersPerSecond,SvVelocityEcefYMetersPerSecond,SvVelocityEcefZMetersPerSecond,SvClockBiasMeters,SvClockDriftMetersPerSecond,KlobucharAlpha0,KlobucharAlpha1,KlobucharAlpha2,KlobucharAlpha3,KlobucharBeta0,KlobucharBeta1,KlobucharBeta2,KlobucharBeta3
# 
# UncalAccel,utcTimeMillis,elapsedRealtimeNanos,UncalAccelXMps2,UncalAccelYMps2,UncalAccelZMps2,BiasXMps2,BiasYMps2,BiasZMps2,CalibrationAccuracy
# 
# Accel,utcTimeMillis,elapsedRealtimeNanos,AccelXMps2,AccelYMps2,AccelZMps2,CalibrationAccuracy
# 
# UncalGyro,utcTimeMillis,elapsedRealtimeNanos,UncalGyroXRadPerSec,UncalGyroYRadPerSec,UncalGyroZRadPerSec,DriftXRadPerSec,DriftYRadPerSec,DriftZRadPerSec,CalibrationAccuracy
# 
# Gyro,utcTimeMillis,elapsedRealtimeNanos,GyroXRadPerSec,GyroYRadPerSec,GyroZRadPerSec,CalibrationAccuracy
# 
# UncalMag,utcTimeMillis,elapsedRealtimeNanos,UncalMagXMicroT,UncalMagYMicroT,UncalMagZMicroT,BiasXMicroT,BiasYMicroT,BiasZMicroT,CalibrationAccuracy
# 
# Mag,utcTimeMillis,elapsedRealtimeNanos,MagXMicroT,MagYMicroT,MagZMicroT,CalibrationAccuracy
# 
# Pressure,utcTimeMillis,elapsedRealtimeNanos,PressureHpa,CalibrationAccuracy
# 
# OrientationDeg,utcTimeMillis,elapsedRealtimeNanos,yawDeg,rollDeg,pitchDeg,CalibrationAccuracy
# 
# Fix,Provider,LatitudeDegrees,LongitudeDegrees,AltitudeMeters,SpeedMps,AccuracyMeters,BearingDegrees,UnixTimeMillis,SpeedAccuracyMps,BearingAccuracyDegrees,elapsedRealtimeNanos,VerticalAccuracyMeters,MockLocation,NumberOfUsedSignals,VerticalSpeedAccuracyMps,SolutionType
# 
# Nav,Svid,Type,Status,MessageId,Sub-messageId,Data(Bytes)
# 
# Status,UnixTimeMillis,SignalCount,SignalIndex,ConstellationType,Svid,CarrierFrequencyHz,Cn0DbHz,AzimuthDegrees,ElevationDegrees,UsedInFix,HasAlmanacData,HasEphemerisData,BasebandCn0DbHz
# 
# Agc,utcTimeMillis,TimeNanos,LeapSecond,TimeUncertaintyNanos,FullBiasNanos,BiasNanos,BiasUncertaintyNanos,DriftNanosPerSecond,DriftUncertaintyNanosPerSecond,HardwareClockDiscontinuityCount,AgcDb,CarrierFrequencyHz,ConstellationType
# 
# GameRotationVector,utcTimeMillis,elapsedRealtimeNanos,x,y,z,w
# 
Accel,1769597297046,61423794480122,-0.16095,1.4449501,8.98995,3
Accel,1769597297056,61423804011798,-0.18,1.4650501,9.009001,3
Accel,1769597297065,61423813544049,-0.16095,1.4449501,8.98995,3
Accel,1769597297075,61423823080200,-0.18,1.4650501,9.009001,3
Accel,1769597297084,61423832616165,-0.16095,1.4449501,8.98995,3
Accel,1769597297144,61423892963222,-0.18,1.4449501,9.02805,3
Accel,1769597297149,61423897735116,-0.16095,1.4260501,9.02805,3
Accel,1769597297154,61423902507223,-0.18,1.4449501,9.04695,3
Accel,1769597297159,61423907280358,-0.16095,1.4260501,9.02805,3
Accel,1769597297164,61423912053399,-0.18,1.4449501,9.04695,3
Accel,1769597297168,61423916827399,-0.16095,1.4260501,9.02805,3
Accel,1769597297173,61423921601400,-0.18,1.4449501,9.04695,3
Accel,1769597297178,61423926376150,-0.16095,1.4260501,9.02805,3
Accel,1769597297183,61423931150919,-0.18,1.4449501,9.04695,3
Accel,1769597297187,61423935926765,-0.16095,1.4260501,9.02805,3
Accel,1769597297192,61423940702612,-0.18,1.4449501,9.04695,3
Accel,1769597297197,61423945478009,-0.16095,1.4260501,9.02805,3
Accel,1769597297202,61423950253394,-0.16095,1.4449501,9.04695,3
Accel,1769597297207,61423955026008,-0.14205001,1.4260501,9.02805,3
Accel,1769597297211,61423959798625,-0.14205001,1.4449501,9.04695,3
Accel,1769597297216,61423964569524,-0.10305001,1.4260501,9.02805,3
Accel,1769597297221,61423969340409,-0.10305001,1.4449501,9.04695,3
Accel,1769597297226,61423974113988,-0.064950004,1.4260501,9.02805,3
Accel,1769597297230,61423978887563,-0.04605,1.4650501,9.04695,3
Accel,1769597297235,61423983662346,-0.00795,1.4650501,9.02805,3
Accel,1769597297240,61423988437115,-0.00795,1.48395,9.04695,3
Accel,1769597297245,61423993210345,0.010950001,1.4650501,9.02805,3
Accel,1769597297249,61423997983578,-0.00795,1.48395,9.04695,3
Accel,1769597297254,61424002757231,0.010950001,1.4650501,9.02805,3
Accel,1769597297259,61424007530884,-0.00795,1.48395,9.04695,3
Accel,1769597297264,61424012303076,-0.00795,1.4650501,9.02805,3
Accel,1769597297269,61424017075269,-0.027,1.48395,9.04695,3
Accel,1769597297273,61424021848174,-0.027,1.4650501,9.02805,3
Accel,1769597297278,61424026621057,-0.064950004,1.4650501,9.04695,3
Accel,1769597297283,61424031395673,-0.04605,1.4260501,9.02805,3
Accel,1769597297288,61424036170288,-0.08400001,1.4260501,9.04695,3
Accel,1769597297292,61424040944600,-0.10305001,1.3879501,9.02805,3
Accel,1769597297297,61424045718909,-0.14205001,1.3879501,9.04695,3
Accel,1769597297302,61424050495218,-0.16095,1.35,9.02805,3
Accel,1769597297307,61424055271525,-0.19905001,1.35,9.066,3
Accel,1769597297312,61424060046749,-0.19905001,1.3110001,9.066,3
Accel,1769597297316,61424064821980,-0.21795002,1.3110001,9.085951,3
Accel,1769597297321,61424069598135,-0.19905001,1.2919501,9.066,3
Accel,1769597297326,61424074374288,-0.21795002,1.3110001,9.085951,3
Accel,1769597297331,61424079149836,-0.19905001,1.2919501,9.066,3
Accel,1769597297335,61424083925413,-0.21795002,1.3110001,9.085951,3
Accel,1769597297340,61424088700182,-0.19905001,1.2919501,9.04695,3
Accel,1769597297345,61424093474951,-0.19905001,1.3110001,9.04695,3
Accel,1769597297350,61424098250780,-0.14205001,1.3110001,9.009001,3
Accel,1769597297355,61424103026625,-0.14205001,1.35,8.98995,3
Accel,1769597297359,61424107800624,-0.10305001,1.3300501,8.952001,3
Accel,1769597297364,61424112574625,-0.10305001,1.35,8.952001,3
Accel,1769597297369,61424117349548,-0.064950004,1.3300501,8.913,3
Accel,1769597297374,61424122124471,-0.08400001,1.35,8.932051,3
